Date,E0,P,Qo
1957-10-02,1.6371,43.731199999999994,3.3642315854284246
1957-10-03,3.5564,0.9609,3.9416752796305805
1957-10-04,4.285,0.0286,5.10911261159569
1957-10-05,3.8757,0.7557,5.0086864648537714
1957-10-06,3.9936,0.0,3.037848825038482
1957-10-07,4.1176,0.0,1.3557352488455618
1957-10-08,4.4245,0.0,0.8561224833247819
1957-10-09,4.4152,0.0,0.6628019291944587
1957-10-10,3.7827,0.0,0.5259760697793742
1957-10-11,4.6788,0.0,0.4544223293996922
1957-10-12,4.378,0.0,0.4004456028732684
1957-10-13,1.6247,0.0,0.3590188199076449
1957-10-14,0.9364,0.0,0.3351690507952796
1957-10-15,0.6883,1.0961,0.3175920369420216
1957-10-16,1.0077,21.9002,0.338932703950744
1957-10-17,3.482,0.0,0.43057256028732677
1957-10-18,4.5672,0.0,0.45065424320164194
1957-10-19,4.161,0.0,0.3979320677270395
1957-10-20,2.1301,0.0,0.3539961826577732
1957-10-21,1.3891,0.0,0.3150829348383786
1957-10-22,0.8713,5.4842,0.2924877167778348
1957-10-23,0.8992,10.5177,0.2987649050795279
1957-10-24,2.8339,0.0,0.5071445048742945
1957-10-25,1.0325,0.0,0.387891226269882
1957-10-26,1.3395,0.0,0.3502325295023088
1957-10-27,2.9673,0.0,0.32638276038994357
1957-10-28,2.3161,0.0,0.29751035402770654
1957-10-29,2.5983,0.0278,0.28118789122626986
1957-10-30,0.6635,2.3464,0.2648698614674192
1957-10-31,2.1859,0.0,0.2560835710620831
1957-11-01,1.5379,0.0,0.25106093381221145
1957-11-02,1.9224,0.0,0.24352919445869675
1957-11-03,2.0371,0.0,0.238510990251411
1957-11-04,2.5921,0.0,0.2284657157516675
1957-11-05,1.2278,2.8837,0.2209339763981529
1957-11-06,0.9674,0.5473,0.21842487429451002
1957-11-07,0.893,4.9761,0.21842487429451002
1957-11-08,0.8899,23.9201,0.43684974858902004
1957-11-09,3.0138,0.0,0.7883323961005644
1957-11-10,1.6278,0.0,1.2176504053360697
1957-11-11,2.0185,0.0,1.117224258594151
1957-11-12,0.6604,0.2078,0.744400944073884
1957-11-13,0.4093,65.0417,0.5874845356593124
1957-11-14,2.5053,0.8932,5.360173545407902
1957-11-15,1.1131,1.0076,5.196984381734223
1957-11-16,1.4201,1.0244,5.674001929194459
1957-11-17,1.1534,2.0980000000000003,6.251445623396613
1957-11-18,0.6573,22.2403,4.092310066700872
1957-11-19,2.4247,0.0,5.0086864648537714
1957-11-20,2.5053,0.0,5.10911261159569
1957-11-21,1.6247,1.5211000000000001,5.76187369933299
1957-11-22,0.586,31.4684,5.196984381734223
1957-11-23,0.2356,0.1844,5.3852822986146744
1957-11-24,0.1643,12.267399999999999,5.3852822986146744
1957-11-25,0.7131,0.0017,6.151019476654694
1957-11-26,1.8448,0.0,5.862299846074912
1957-11-27,0.7751,0.0,4.268053606977937
1957-11-28,0.6511,4.8805000000000005,3.125720595177014
1957-11-29,0.7844,4.3285,2.686361744484351
1957-11-30,2.9983,0.0,2.472959507439713
1957-12-01,1.8728,0.0,1.7448810261672651
1957-12-02,1.8293,0.0,1.368289625448948
1957-12-03,0.4124,3.3884,1.0670111852231914
1957-12-04,2.158,1.0346,1.0670111852231914
1957-12-05,1.7828,0.0,0.9477579066187788
1957-12-06,1.5069,0.0,0.8561224833247819
1957-12-07,0.2232,18.376199999999997,1.1109515033350434
1957-12-08,1.417,0.0,2.472959507439713
1957-12-09,1.3333,0.0,2.8997684145715747
1957-12-10,2.0371,0.0,2.6110443509492045
1957-12-11,2.3719,0.0,1.9959419599794765
1957-12-12,1.4976,0.0,1.1925460851718832
1957-12-13,1.5689,0.0,0.9013129194458698
1957-12-14,0.7193,2.3595,0.810932047203694
1957-12-15,1.0387,0.0,0.7883323961005644
1957-12-16,0.7379,0.0,0.7456554951257055
1957-12-17,1.4015,0.0,0.6828880451513597
1957-12-18,0.6635,0.0,0.6427202462801437
1957-12-19,0.4868,19.1827,0.6226341303232427
1957-12-20,2.6975,0.0436,0.9314398768599281
1957-12-21,1.9317,0.0,2.1967942534633145
1957-12-22,0.9767,0.0,2.686361744484351
1957-12-23,1.6557,0.0,2.1967942534633145
1957-12-24,0.9581,0.0,1.4059483222165214
1957-12-25,0.5612,13.073599999999999,0.9013129194458698
1957-12-26,2.1859,0.0,1.092119938429964
1957-12-27,0.7441,13.3413,1.368289625448948
1957-12-28,1.2309,4.4933,2.5357269574140586
1957-12-29,1.7673,0.0,3.050403201641868
1957-12-30,1.1627,0.0,2.548281334017445
1957-12-31,1.1441,2.5547,2.0587094099538223
1958-01-01,1.3891,0.0,1.5565831092868134
1958-01-02,1.4139,0.0,1.1925460851718832
1958-01-03,1.6557,0.0,1.0670111852231914
1958-01-04,1.048,0.0,0.9477579066187788
1958-01-05,1.2464,0.0,0.7883323961005644
1958-01-06,0.2884,2.8255,0.6828880451513597
1958-01-07,1.6216,0.0,0.7029741611082607
1958-01-08,1.5813,0.0,0.7029741611082607
1958-01-09,0.7658,0.0,0.6427202462801437
1958-01-10,0.9922,0.0,0.5824618984094407
1958-01-11,1.0883,0.0,0.5448032016418676
1958-01-12,0.3318,9.4487,0.5259760697793742
1958-01-13,0.8434,2.6971,0.7280784812724473
1958-01-14,1.141,0.0,1.092119938429964
1958-01-15,0.9395,11.3019,1.3431808722421754
1958-01-16,1.8697,0.0,1.393393945613135
